
Alho cru,Dente grande,5,gramas,113,68,24,7.0,0.2,NULL,4.3,5,NULL,14,0.8,NULL,535,21,0.18,NULL,NULL
Alho -poró cru,Colher de sopa,10,gramas,32,91,7,1.4,0.1,NULL,2.5,2,14.1,34,0.6,8,224,11,0.06,NULL,0.34
Almeirão cru,Colher de sopa,10,gramas,18,94,3,1.8,0.2,NULL,2.6,2,1.7,19,0.7,283,369,21,0.10,0.18,0.63
Almeirão refogado,Colher de sopa,25,gramas,65,87,6,1.7,4.8,0.8,3.4,15,1.5,63,1.6,NULL,315,17,0.03,0.06,4.03
"Batata baroa cozida ",Colher de sopa,35,gramas,80,79,19,0.9,0.2,NULL,1.8,2,17.1,12,0.4,NULL,258,8,0.06,NULL,1.98
Batata doce cozida,Colher de sopa,42,gramas,77,80,18,0.6,0.1,NULL,2.2,3,23.8,17,0.2,NULL,148,11,0.08,NULL,2.57
Almeirão refogado com sal,Colher de sopa,25,gramas,65,87,6,1.7,4.8,0.8,3.4,400,1.5,63,1.6,NULL,315,17,0.03,0.06,4.03
Batata baroa cozida  com sal,Colher de sopa,35,gramas,80,79,19,0.9,0.2,NULL,1.8,350,17.1,12,0.4,NULL,258,8,0.06,NULL,1.98
Batata doce cozida com sal,Colher de sopa,42,gramas,77,80,18,0.6,0.1,NULL,2.2,350,23.8,17,0.2,NULL,148,11,0.08,NULL,2.57
Batata doce crua,Unidade média,140,gramas,118,70,28,1.3,0.1,NULL,2.6,9,16.5,21,0.4,NULL,340,17,0.06,NULL,NULL
Batata frita tipo chips industrializada,Punhado,15,gramas,543,3,51,5.6,36.6,12.9,2.5,607,NULL,12,0.7,NULL,1014,24,0.20,NULL,2.61
Batata inglesa cozida,Colher de sopa,30,gramas,52,86,12,1.2,NULL,NULL,1.3,2,3.8,4,0.2,NULL,161,5,0.05,NULL,NULL
Batata inglesa cozida com sal,Colher de sopa,30,gramas,52,86,12,1.2,NULL,NULL,1.3,400,3.8,4,0.2,NULL,161,5,0.05,NULL,NULL
Batata inglesa frita,Escumadeira,65,gramas,267,44,36,5.0,13.1,2.1,8.1,2,16.3,6,0.4,NULL,489,14,0.17,NULL,2.51
Batata inglesa sauté,Colher de sopa,25,gramas,68,83,14,1.3,0.9,0.3,1.4,8,NULL,4,0.3,NULL,199,6,0.07,NULL,1.38
Berinjela cozida,Colher de sopa,25,gramas,19,94,4,0.7,0.1,NULL,2.5,1,NULL,11,0.2,NULL,105,9,0.04,NULL,NULL
Beterraba cozida,Colher de sopa,20,gramas,32,91,7,1.3,0.1,NULL,1.9,23,1.2,15,0.2,NULL,245,17,0.09,NULL,NULL
Beterraba crua ralada,Colher de sopa,16,gramas,49,86,11,1.9,0.1,NULL,3.4,10,3.1,18,0.3,NULL,375,24,0.04,NULL,NULL
Biscoito de polvilho doce,Unidade,3,gramas,438,5,81,1.3,12.2,2.4,1.2,98,NULL,30,1.8,NULL,54,6,NULL,0.03,NULL
Brócolis cozido,Colher de sopa,10,gramas,25,93,4,2.1,0.5,0.1,3.4,2,42.0,51,0.5,NULL,119,15,0.04,0.03,NULL
Brócolis cru,Colher de sopa,10,gramas,25,91,4,3.6,0.3,0.1,2.9,3,34.3,86,0.6,140,322,30,0.12,0.18,1.39
Cará cozido,Pedaço médio,100,gramas,78,79,19,1.5,0.1,NULL,2.6,1,NULL,5,0.3,NULL,203,15,0.12,NULL,NULL
Caruru cru,Colher de sopa,25,gramas,34,88,6,3.2,0.6,0.1,4.5,14,5.4,455,4.5,953,279,197,NULL,0.10,NULL
Batata inglesa sauté com sal,Colher de sopa,25,gramas,68,83,14,1.3,0.9,0.3,1.4,400,NULL,4,0.3,NULL,199,6,0.07,NULL,1.38
Berinjela cozida com sal,Colher de sopa,25,gramas,19,94,4,0.7,0.1,NULL,2.5,400,NULL,11,0.2,NULL,105,9,0.04,NULL,NULL
Beterraba cozida  com sal,Colher de sopa,20,gramas,32,91,7,1.3,0.1,NULL,1.9,400,1.2,15,0.2,NULL,245,17,0.09,NULL,NULL
Brócolis cozido com sal,Colher de sopa,10,gramas,25,93,4,2.1,0.5,0.1,3.4,400,42.0,51,0.5,NULL,119,15,0.04,0.03,NULL
Cará cozido com sal,Pedaço médio,100,gramas,78,79,19,1.5,0.1,NULL,2.6,400,NULL,5,0.3,NULL,203,15,0.12,NULL,NULL
Catalonha crua,Folha média,12,gramas,24,92,5,1.9,0.3,0.1,2.0,9,7.3,57,3.1,NULL,412,17,NULL,0.03,1.54
Catalonha refogada,Colher de sopa,20,gramas,63,87,5,2.0,4.8,0.7,3.7,25,NULL,63,1.2,425,452,16,0.04,NULL,0.60
Catalonha refogada com sal,Colher de sopa,20,gramas,63,87,5,2.0,4.8,0.7,3.7,400,NULL,63,1.2,425,452,16,0.04,NULL,0.60
Cebola crua,Colher de sopa,10,gramas,39,89,9,1.7,0.1,NULL,2.2,1,4.7,14,0.2,NULL,176,12,0.04,NULL,NULL
Cebolinha crua,Colher de sopa,10,gramas,20,94,3,1.9,0.4,NULL,3.6,2,31.8,80,0.6,67,206,25,0.03,0.04,NULL
Cenoura cozida,Colher de sopa,25,gramas,30,92,7,0.8,0.2,NULL,2.6,8,NULL,26,0.1,306,176,14,0.07,NULL,2.68
Cenoura crua ralada,Colher de sopa,12,gramas,34,90,8,1.3,0.2,NULL,3.2,3,5.1,23,0.2,663,315,11,NULL,NULL,NULL
Chicória crua,Folha média,12,gramas,14,95,3,1.1,0.1,NULL,2.2,14,6.5,45,0.5,NULL,425,14,0.03,0.10,0.68
Chuchu cozido,Colher de sopa,20,gramas,19,95,5,0.4,NULL,NULL,1.0,2,5.6,8,0.1,NULL,54,7,0.03,NULL,NULL
Chuchu cozido com sal,Colher de sopa,20,gramas,19,95,5,0.4,NULL,NULL,1.0,400,5.6,8,0.1,NULL,54,7,0.03,NULL,NULL
Coentro folhas desidratadas,Colher de café,5,gramas,309,11,48,20.9,10.4,NULL,37.3,18,40.8,784,81.4,NULL,3223,393,0.10,0.11,NULL
