"Alface, roxa, crua",13,2.5,0.9,0.2,NA,NA,2,7,13.5,34,2.5,0.04,51,308,9,0.2,Tr
"Alfavaca, crua",29,5.2,2.7,0.5,NA,NA,4.1,5,Tr,258,1.3,0.15,50,261,84,0.7,Tr
"Alho, cru",113,23.9,7,0.2,NA,NA,4.3,5,*,14,0.8,0.15,149,535,21,0.8,0.18
"Alho-poró, cru",32,6.9,1.4,0.1,NA,NA,2.5,2,14.1,34,0.6,0.29,36,224,11,0.2,0.06
"Almeirão, cru",18,3.3,1.8,0.2,NA,NA,2.6,2,1.7,19,0.7,0.1,40,369,21,0.3,0.1
"Almeirão, refogado",65,5.7,1.7,4.8,NA,NA,3.4,15,1.5,63,1.6,0.06,31,315,17,0.2,0.03
"Batata, baroa, cozida",80,18.9,0.9,0.2,NA,NA,1.8,2,17.1,12,0.4,0.15,29,258,8,0.4,0.06
"Batata, baroa, crua",101,24,1,0.2,NA,NA,2.1,Tr,7.6,17,0.3,0.05,45,505,12,0.2,0.05
"Batata, doce, cozida",77,18.4,0.6,0.1,NA,NA,2.2,3,23.8,17,0.2,0.06,15,148,11,0.1,0.08
"Batata, doce, crua",118,28.2,1.3,0.1,NA,NA,2.6,9,16.5,21,0.4,0.11,36,340,17,0.2,0.06
"Batata, frita, tipo chips, industrializada",543,51.2,5.6,36.6,NA,NA,2.5,607,Tr,12,0.7,0.12,96,1014,24,0.6,0.2
"Batata, inglesa, cozida",52,11.9,1.2,Tr,NA,NA,1.3,2,3.8,4,0.2,0.06,24,161,5,0.2,0.05
"Batata, inglesa, crua",64,14.7,1.8,Tr,NA,NA,1.2,Tr,31.1,4,0.4,0.09,39,302,15,0.2,0.1
"Batata, inglesa, frita",267,35.6,5,13.1,NA,NA,8.1,2,16.3,6,0.4,0.1,70,489,14,0.4,0.17
,,,,,,,,,,,,,,,,,
"Batata, inglesa, sauté",68,14.1,1.3,0.9,NA,NA,1.4,8,Tr,4,0.3,0.05,32,199,6,0.2,0.07
"Berinjela, cozida",19,4.5,0.7,0.1,NA,NA,2.5,1,Tr,11,0.2,0.04,15,105,9,0.1,0.04
"Berinjela, crua",20,4.4,1.2,0.1,NA,NA,2.9,Tr,3,9,0.2,0.06,20,205,13,0.1,0.04
"Beterraba, cozida",32,7.2,1.3,0.1,NA,NA,1.9,23,1.2,15,0.2,0.04,30,245,17,0.4,0.09
"Beterraba, crua",49,11.1,1.9,0.1,NA,NA,3.4,10,3.1,18,0.3,0.08,19,375,24,0.5,0.04
"Biscoito, polvilho doce",438,80.5,1.3,12.2,9,Tr,1.2,98,Tr,30,1.8,0.04,23,54,6,0.1,Tr
"Brócolis, cozido",25,4.4,2.1,0.5,NA,NA,3.4,2,42,51,0.5,0.08,33,119,15,0.2,0.04
"Brócolis, cru",25,4,3.6,0.3,NA,NA,2.9,3,34.3,86,0.6,0.06,78,322,30,0.5,0.12
"Cará, cozido",78,18.9,1.5,0.1,NA,NA,2.6,1,Tr,5,0.3,0.11,28,203,15,0.2,0.12
"Cará, cru",96,23,2.3,0.1,NA,NA,7.3,Tr,8.8,4,0.2,0.06,35,212,11,0.2,0.11
"Caruru, cru",34,6,3.2,0.6,NA,NA,4.5,14,5.4,455,4.5,0.37,77,279,197,6,Tr
"Catalonha, crua",24,4.8,1.9,0.3,NA,NA,2,9,7.3,57,3.1,0.27,32,412,17,0.5,Tr
"Catalonha, refogada",63,4.8,2,4.8,NA,NA,3.7,25,Tr,63,1.2,0.18,35,452,16,0.4,0.04
"Cebola, crua",39,8.9,1.7,0.1,NA,NA,2.2,1,4.7,14,0.2,0.05,38,176,12,0.2,0.04
"Cebolinha, crua",20,3.4,1.9,0.4,NA,NA,3.6,2,31.8,80,0.6,0.04,27,206,25,0.3,0.03
"Cenoura, cozida",30,6.7,0.8,0.2,NA,NA,2.6,8,Tr,26,0.1,0.02,27,176,14,0.2,0.07
"Cenoura, crua",34,7.7,1.3,0.2,NA,NA,3.2,3,5.1,23,0.2,0.05,28,315,11,0.2,Tr
"Chicória, crua",14,2.9,1.1,0.1,NA,NA,2.2,14,6.5,45,0.5,0.04,13,425,14,0.1,0.03
"Chuchu, cozido",19,4.8,0.4,Tr,NA,NA,1,2,5.6,8,0.1,Tr,13,54,7,0.1,0.03
"Chuchu, cru",17,4.1,0.7,0.1,NA,NA,1.3,Tr,10.6,12,0.2,0.03,18,126,7,0.1,Tr
"Coentro, folhas desidratadas",309,48,20.9,10.4,NA,NA,37.3,18,40.8,784,81.4,4.09,388,3223,393,4.7,0.1
"Couve, manteiga, crua",27,4.3,2.9,0.5,NA,NA,3.1,6,96.7,131,0.5,0.06,49,403,35,0.4,0.2
"Couve, manteiga, refogada ",90,8.7,1.7,6.6,NA,NA,5.7,11,76.9,177,0.5,0.02,33,315,26,0.2,Tr
"Couve-flor, crua",23,4.5,1.9,0.2,NA,NA,2.4,3,36.1,18,0.5,0.03,57,256,12,0.3,0.03
"Couve-flor, cozida",19,3.9,1.2,0.3,NA,NA,2.1,2,23.7,16,0.1,Tr,25,80,5,0.3,0.04
"Espinafre, Nova Zelândia, cru",16,2.6,2,0.2,NA,NA,2.1,17,2.4,98,0.4,0.06,25,336,82,0.3,0.1
"Espinafre, Nova Zelândia, refogado",67,4.2,2.7,5.4,NA,NA,2.5,47,5.3,112,0.6,0.04,34,149,123,0.6,0.08
"Farinha, de mandioca, crua",361,87.9,1.6,0.3,NA,NA,6.4,1,Tr,65,1.1,0.08,42,340,37,0.4,0.14
"Farinha, de mandioca, torrada",365,89.2,1.2,0.3,NA,NA,6.5,10,Tr,76,1.2,Tr,39,328,40,0.4,Tr
"Farinha, de puba",360,87.3,1.6,0.5,NA,NA,4.2,4,Tr,41,1.4,0.07,33,338,27,0.3,0.09
"Fécula, de mandioca",331,81.1,0.5,0.3,NA,NA,0.6,2,Tr,12,0.1,Tr,60,48,3,Tr,0.03
"Feijão, broto, cru",39,7.8,4.2,0.1,NA,NA,2,2,12,14,0.8,0.17,75,189,25,0.6,Tr
,,,,,,,,,,,,,,,,,
"Inhame, cru",97,23.2,2.1,0.2,NA,NA,1.7,Tr,5.6,12,0.4,0.17,65,568,29,0.3,0.08
"Jiló, cru",27,6.2,1.4,0.2,NA,NA,4.8,Tr,6.8,20,0.3,0.07,29,213,21,0.1,0.07
"Jurubeba, crua",126,23.1,4.4,3.9,NA,NA,23.9,1,13.8,151,0.9,1.16,155,619,65,0.6,0.13
"Mandioca, cozida",125,30.1,0.6,0.3,NA,NA,1.6,1,11.1,19,0.1,0.01,22,100,27,0.2,0.06
"Mandioca, crua",151,36.2,1.1,0.3,NA,NA,1.9,2,16.5,15,0.3,0.07,29,208,44,0.2,Tr
"Mandioca, farofa, temperada",406,80.3,2.1,9.1,NA,NA,7.8,575,Tr,66,1.4,Tr,45,201,34,0.2,0.1
"Mandioca, frita",300,50.3,1.4,11.2,NA,NA,1.9,9,Tr,23,0.3,0.12,57,176,95,0.4,0.05
"Manjericão, cru",21,3.6,2,0.4,NA,NA,3.3,4,2.3,211,1,0.16,40,252,58,0.5,0.06
"Maxixe, cru",14,2.7,1.4,0.1,NA,NA,2.2,11,9.6,21,0.4,0.02,25,328,10,0.2,0.06
"Mostarda, folha, crua",18,3.2,2.1,0.2,NA,NA,1.9,3,38.6,68,1.1,0.05,58,364,16,0.3,0.05
"Nhoque, batata, cozido",181,36.8,5.9,1.9,15,15,1.8,7,Tr,11,1.6,0.1,68,164,18,0.5,0.08
"Nabo, cru",18,4.1,1.2,0.1,NA,NA,2.6,2,9.6,42,0.2,0.02,17,280,15,0.2,0.07
"Palmito, juçara, em conserva",23,4.3,1.8,0.4,NA,NA,3.2,514,2,58,0.3,0.23,40,244,34,0.7,0.06
"Palmito, pupunha, em conserva",29,5.5,2.5,0.5,NA,NA,2.6,563,8.7,32,0.2,0.08,55,206,25,0.4,0.03
"Pão, de queijo, assado",363,34.2,5.1,24.6,68,61,0.6,773, ,102,0.3,0.01,94,93,8,0.6,0.04
"Pão, de queijo, cru",295,38.5,3.6,14,63,48,1,405, ,88,0.3,Tr,79,58,7,0.4,Tr
"Pepino, cru",10,2,0.9,Tr,NA,NA,1.1,Tr,5,10,0.1,0.04,12,154,9,0.1,Tr
"Pimentão, amarelo, cru",28,6,1.2,0.4,NA,NA,1.9,Tr,201.4,10,0.4,0.04,22,221,11,0.2,0.04
"Pimentão, verde, cru",21,4.9,1.1,0.2,NA,NA,2.6,Tr,100.2,9,0.4,0.07,17,174,8,0.1,Tr
"Pimentão, vermelho, cru",23,5.5,1,0.1,NA,NA,1.6,Tr,158.2,6,0.3,0.04,20,211,11,0.2,0.05
"Polvilho, doce",351,86.8,0.4,Tr,NA,NA,0.2,2,Tr,27,0.5,Tr,8,38,4,Tr,Tr
"Quiabo, cru",30,6.4,1.9,0.3,NA,NA,4.6,1,5.6,112,0.4,0.17,56,249,50,0.6,0.1
"Rabanete, cru",14,2.7,1.4,0.1,NA,NA,2.2,11,9.6,21,0.4,0.02,25,328,10,0.2,0.06
"Repolho, branco, cru",17,3.9,0.9,0.1,NA,NA,1.9,4,18.7,35,0.2,0.02,14,150,9,0.2,Tr
"Repolho, roxo, cru",31,7.2,1.9,0.1,NA,NA,2,2,43.2,44,0.5,0.9,58,328,18,0.3,0.07
"Repolho, roxo, refogado",42,7.6,1.8,1.2,NA,NA,1.8,3,40.5,43,0.5,0.02,59,321,17,0.3,0.07
"Rúcula, crua",13,2.2,1.8,0.1,NA,NA,1.7,9,46.3,117,0.9,0.04,25,233,18,0.2,0.04
"Salsa, crua",33,5.7,3.3,0.6,NA,NA,1.9,2,51.7,179,3.2,0.2,49,711,21,1.3,0.12
"Seleta de legumes, enlatada",57,12.7,3.4,0.4,NA,NA,3.1,398,Tr,16,1.1,0.08,49,122,16,0.5,0.03
"Serralha, crua",30,4.9,2.7,0.7,NA,NA,3.5,19,1.5,126,1.3,0.2,48,265,30,1.3,Tr
"Taioba, crua",34,5.4,2.9,0.9,NA,NA,4.5,1,17.9,141,1.9,0.16,53,290,38,0.6,Tr
"Tomate, com semente, cru",15,3.1,1.1,0.2,NA,NA,1.2,1,21.2,7,0.2,0.04,20,222,11,0.1,0.12
,,,,,,,,,,,,,,,,,
"Tomate, extrato",61,15,2.4,0.2,NA,NA,2.8,498,18,29,2.1,0.2,47,680,29,0.4,Tr
"Tomate, molho industrializado",38,7.7,1.4,0.9,NA,NA,3.1,418,2.7,12,1.6,0.08,27,388,17,0.1,Tr
"Tomate, purê",28,6.9,1.4,Tr,NA,NA,1,104,5.4,13,1.3,0.09,30,308,15,0.3,Tr
"Tomate, salada",21,5.1,0.8,Tr,NA,NA,2.3,5,12.8,7,0.3,0.07,23,161,10,0.2,0.06
"Vagem, crua",25,5.3,1.8,0.2,NA,NA,2.4,Tr,1.2,41,0.4,0.06,28,208,18,0.3,Tr
,,,,,,,,,,,,,,,,,
"Abacate, cru",96,6,1.2,8.4,NA,NA,6.3,Tr,8.7,8,0.2,0.15,22,206,15,0.2,Tr
"Abacaxi, cru",48,12.3,0.9,0.1,NA,NA,1,Tr,34.6,22,0.3,0.11,13,131,18,0.1,0.17
"Abacaxi, polpa, congelada",31,7.8,0.5,0.1,NA,NA,0.3,1,1.2,14,0.4,0.04,8,107,10,0.1,0.05
"Abiu, cru",62,14.9,0.8,0.7,NA,NA,1.7,Tr,10.3,6,0.2,0.09,20,128,9,0.1,Tr
"Açaí, polpa, com xarope de guaraná e glucose",110,21.5,0.7,3.7,NA,NA,1.7,15,10.3,22,0.3,0.14,11,75,13,0.2,Tr
"Açaí, polpa, congelada",58,6.2,0.8,3.9,NA,NA,2.6,5,Tr,35,0.4,0.18,16,124,17,0.3,Tr
"Acerola, crua",33,8,0.9,0.2,NA,NA,1.5,Tr,941.4,13,0.2,0.07,9,165,13,0.1,Tr
"Acerola, polpa, congelada",22,5.5,0.6,Tr,NA,NA,0.7,1,623.2,8,0.2,0.04,13,112,9,0.1,Tr
"Ameixa, calda, enlatada ",183,46.9,0.4,Tr,NA,NA,0.5,3,4.3,13,2.2,0.03,21,221,10,0.1,Tr
"Ameixa, crua",53,13.9,0.8,Tr,NA,NA,2.4,Tr,7.6,6,0.1,0.06,14,134,5,0.1,0.07
"Ameixa, em calda, enlatada, drenada ",177,47.7,1,0.3,NA,NA,4.5,3,5.2,39,2.7,0.16,26,263,14,0.2,Tr
"Atemóia, crua",97,25.3,1,0.3,NA,NA,2.1,1,10.1,23,0.2,0.17,23,300,25,0.2,0.09
"Banana, da terra, crua",128,33.7,1.4,0.2,NA,NA,1.5,Tr,15.7,4,0.3,0.05,26,328,24,0.2,0.03
"Banana, doce em barra",280,75.7,2.2,0.1,NA,NA,3.8,10,Tr,12,0.6,0.16,37,518,49,0.3,0.03
"Banana, figo, crua",105,27.8,1.1,0.1,NA,NA,2.8,Tr,17.5,6,0.2,0.06,16,387,30,0.1,0.09
"Banana, maçã, crua",87,22.3,1.8,0.1,NA,NA,2.6,Tr,10.5,3,0.2,0.11,29,264,24,0.1,Tr
"Banana, nanica, crua",92,23.8,1.4,0.1,NA,NA,1.9,Tr,5.9,3,0.3,0.1,27,376,28,0.2,Tr
"Banana, ouro, crua",112,29.3,1.5,0.2,NA,NA,2,Tr,7.6,3,0.3,0.08,22,355,28,0.3,Tr
"Banana, pacova, crua",78,20.3,1.2,0.1,NA,NA,2,1,Tr,5,0.4,0.06,20,267,30,0.1,0.05
"Banana, prata, crua",98,26,1.3,0.1,NA,NA,2,Tr,21.6,8,0.4,0.05,22,358,26,0.1,Tr
"Cacau, cru",74,19.4,1,0.1,NA,NA,2.2,1,13.6,12,0.3,0.15,9,72,25,0.6,0.25
"Cajá-Manga, cru",46,11.4,1.3,Tr,NA,NA,2.6,1,26.7,13,0.2,0.02,24,119,11,0.2,0.11
"Cajá, polpa, congelada",26,6.4,0.6,0.2,NA,NA,1.4,7,Tr,9,0.3,0.1,26,148,7,0.1,0.04
"Caju, cru",43,10.3,1,0.3,NA,NA,1.7,3,219.3,1,0.2,0.07,16,124,10,0.1,Tr
"Caju, polpa, congelada",37,9.4,0.5,0.2,NA,NA,0.8,4,119.7,1,0.1,0.07,10,88,7,0.1,Tr
,,,,,,,,,,,,,,,,,
"Caju, suco concentrado, envasado",45,10.7,0.4,0.2,NA,NA,0.6,45,138.7,1,0.1,0.04,11,107,8,0.1,Tr
"Caqui, chocolate, cru",71,19.3,0.4,0.1,NA,NA,6.5,2,29.6,18,0.1,Tr,18,164,9,0.2,Tr
"Carambola, crua",46,11.5,0.9,0.2,NA,NA,2,4,60.9,5,0.2,0.08,11,133,7,0.2,0.12
"Ciriguela, crua",76,18.9,1.4,0.4,NA,NA,3.9,2,27,27,0.4,0.12,49,248,18,0.5,0.14
"Cupuaçu, cru",49,10.4,1.2,1,NA,NA,3.1,3,24.5,13,0.5,0.07,21,331,18,0.3,0.37
"Cupuaçu, polpa, congelada",49,11.4,0.8,0.6,NA,NA,1.6,1,10.5,5,0.3,0.14,14,291,14,0.2,0.07
"Figo, cru",41,10.2,1,0.2,NA,NA,1.8,Tr,0.8,27,0.2,0.13,15,174,11,0.1,0.05
"Figo, enlatado, em calda",184,50.3,0.6,0.2,NA,NA,2,7,5.2,33,0.5,0.25,6,39,7,0.1,Tr
"Fruta-pão, crua",67,17.2,1.1,0.2,NA,NA,5.5,1,9.9,34,0.2,0.07,27,188,24,0.1,0.03
"Goiaba, branca, com casca, crua",52,12.4,0.9,0.5,NA,NA,6.3,Tr,99.2,5,0.2,0.04,16,220,7,0.2,Tr
"Goiaba, doce em pasta",269,74.1,0.6,0,NA,NA,3.7,4,23.1,10,0.4,0.06,54,165,6,0.1,0.07
"Goiaba, doce, cascão",286,78.7,0.4,0.1,NA,NA,4.4,11,34.3,15,0.4,0.08,28,251,10,0.1,Tr
"Goiaba, vermelha, com casca, crua",54,13,1.1,0.4,NA,NA,6.2,Tr,80.6,4,0.2,0.04,15,198,7,0.1,Tr
"Graviola, crua",62,15.8,0.8,0.2,NA,NA,1.9,4,19.1,40,0.2,0.04,19,250,23,0.1,0.17
"Graviola, polpa, congelada",38,9.8,0.6,0.1,NA,NA,1.2,3,10.5,6,0.1,0.06,17,170,10,0.1,Tr
"Jabuticaba, crua",58,15.3,0.6,0.1,NA,NA,2.3,Tr,16.2,8,0.1,0.07,15,130,18,0.3,0.06
"Jaca, crua",88,22.5,1.4,0.3,NA,NA,2.4,2,14.8,11,0.4,0.09,14,234,40,0.2,0.1
"Jambo, cru",27,6.5,0.9,0.1,NA,NA,5.1,22,3.8,14,0.1,0.02,18,135,14,0.1,0.08
"Jamelão, cru",41,10.6,0.5,0.1,NA,NA,1.8,1,27.1,3,0,0.03,4,394,2,0,0.17
"Kiwi, cru",51,11.5,1.3,0.6,NA,NA,2.7,Tr,70.8,24,0.3,0.15,33,269,11,0.1,Tr
"Laranja, baía, crua",45,11.5,1,0.1,NA,NA,1.1,Tr,56.9,35,0.1,0.04,24,174,9,0.1,0.06
"Laranja, baía, suco",37,8.7,0.7,Tr,NA,NA,Tr,Tr,94.5,6,0.1,0.02,22,173,8,Tr,0.03
