Banana maçã crua descascada,Unidade média,65,gramas,87,75,22,1.8,0.1,NULL,2.6,NULL,10.5,3,0.2,3,264,24,NULL,NULL,NULL
Banana naninca crua descascada,Unidade,100,gramas,92,74,24,1.4,0.1,NULL,1.9,NULL,5.9,3,0.3,7,376,28,NULL,0.02,NULL
Banana pacova crua descascada,Unidade,270,gramas,78,78,20,1.2,0.1,NULL,2.0,1,NULL,5,0.4,NULL,267,30,0.05,0.03,NULL
Banana prata crua descascada,Unidade média,50,gramas,98,72,26,1.3,0.1,NULL,2.0,NULL,21.6,8,0.4,16,358,26,NULL,0.02,NULL
Barreado preparado com adição de pouco sal,Concha média,150,gramas,165,71,0,18.3,9.5,3.3,0.1,235,NULL,15,2.4,NULL,295,21,0.03,0.04,2.09
Barreado preparado sem adição de sal,Concha média,150,gramas,165,71,0,18.3,9.5,3.3,0.1,48,NULL,15,2.4,NULL,295,21,0.03,0.04,2.09
Batata baroa cozida com adição de pouco sal,Colher de sopa,35,gramas,80,79,19,0.9,0.2,NULL,1.8,189,17.1,12,0.4,NULL,258,8,0.06,NULL,1.98
Batata baroa cozida  sem adição de sal,Colher de sopa,35,gramas,80,79,19,0.9,0.2,NULL,1.8,2,17.1,12,0.4,NULL,258,8,0.06,NULL,1.98
Batata doce cozida sem adição de sal,Colher de sopa,42,gramas,77,80,18,0.6,0.1,NULL,2.2,3,23.8,17,0.2,NULL,148,11,0.08,NULL,2.57
Batata doce cozida com adição de pouco sal,Colher de sopa,42,gramas,77,80,18,0.6,0.1,NULL,2.2,191,23.8,17,0.2,NULL,148,11,0.08,NULL,2.57
Batata doce crua,Unidade média,140,gramas,118,70,28,1.3,0.1,NULL,2.6,9,16.5,21,0.4,NULL,340,17,0.06,NULL,NULL
Batata frita tipo chips industrializada,Punhado,15,gramas,543,3,51,5.6,36.6,12.9,2.5,607,NULL,12,0.7,NULL,1014,24,0.20,NULL,2.61
Batata inglesa cozida  com adição de pouco sal,Colher de sopa,30,gramas,52,86,12,1.2,NULL,NULL,1.3,189,3.8,4,0.2,NULL,161,5,0.05,NULL,NULL
Batata inglesa cozida sem adição de sal,Colher de sopa,30,gramas,52,86,12,1.2,NULL,NULL,1.3,2,3.8,4,0.2,NULL,161,5,0.05,NULL,NULL
Batata inglesa frita sem adição de sal,Escumadeira,65,gramas,267,44,36,5.0,13.1,2.1,8.1,2,16.3,6,0.4,NULL,489,14,0.17,NULL,2.51
Batata inglesa sauté  com adição de pouco sal,Colher de sopa,35,gramas,68,83,14,1.3,0.9,0.3,1.4,195,NULL,4,0.3,NULL,199,6,0.07,NULL,1.38
Batata inglesa sauté sem adição de sal,Colher de sopa,35,gramas,68,83,14,1.3,0.9,0.3,1.4,8,NULL,4,0.3,NULL,199,6,0.07,NULL,1.38
Bebiba isotônica sabores variados,Copo,200,mL,26,94,6,0.0,0.0,NULL,NULL,44,NULL,1,0.7,NULL,13,NULL,NULL,NULL,NULL
Bebida láctea pêssego,Copo duplo cheio,240,mL,55,88,8,2.1,1.9,1.1,0.3,46,2.1,89,NULL,NULL,62,9,0.03,0.14,0.33
Berinjela cozida com adição de pouco sal,Colher de sopa,25,gramas,19,94,4,0.7,0.1,NULL,2.5,129,NULL,11,0.2,NULL,105,9,0.04,NULL,NULL
Berinjela cozida sem adição de sal,Colher de sopa,25,gramas,19,94,4,0.7,0.1,NULL,2.5,1,NULL,11,0.2,NULL,105,9,0.04,NULL,NULL
Beterraba cozida com adição de pouco sal,Colher de sopa,25,gramas,32,91,7,1.3,0.1,NULL,1.9,147,1.2,15,0.2,NULL,245,17,0.09,NULL,NULL
Beterraba cozida sem sal,Colher de sopa,25,gramas,32,91,7,1.3,0.1,NULL,1.9,23,1.2,15,0.2,NULL,245,17,0.09,NULL,NULL
Beterraba crua ralada sem sal,Colher de sopa,16,gramas,49,86,11,1.9,0.1,NULL,3.4,10,3.1,18,0.3,NULL,375,24,0.04,NULL,NULL
Bife à cavalo de contra filé preparado sem adição de sal,Bife médio,100,gramas,291,54,0,23.7,21.1,7.9,NULL,83,NULL,26,2.1,37,272,19,0.05,0.10,2.92
Bife à cavalo de contra filé preparado com adição de pouco sal,Bife médio,100,gramas,291,54,0,23.7,21.1,7.9,NULL,270,NULL,26,2.1,37,272,19,0.05,0.10,2.92
Biscoito cream cracker,Unidade,7,gramas,432,4,69,10.1,14.4,4.4,2.5,854,NULL,20,2.2,NULL,181,40,0.71,0.13,7.14
Biscoito de polvilho doce,Unidade,3,gramas,438,5,81,1.3,12.2,2.4,1.2,98,NULL,30,1.8,NULL,54,6,NULL,0.03,NULL
Biscoito maisena,Unidade,5,gramas,443,3,75,8.1,12.0,3.9,2.1,352,6.2,54,1.8,NULL,142,37,1.01,0.42,3.91
Biscoito recheado com chocolate,Unidade,13,gramas,472,2,71,6.4,19.6,6.2,3.0,239,3.5,27,2.3,NULL,232,48,0.32,0.39,2.52
Biscoito recheado com morango,Unidade,15,gramas,471,3,71,5.7,19.6,6.1,1.5,230,NULL,36,1.5,NULL,113,27,0.90,0.42,1.50
Biscoito wafer recheado de chocolate,Unidade,10,gramas,502,1,68,5.6,24.7,6.5,1.8,137,NULL,23,2.4,NULL,240,48,0.37,0.03,1.12
